image,w,h,aspr,corrected
image00157,1661,2416,0.6875,
image00660,1674,2435,0.687474333,
image00049,1682,2450,0.686530612,
image00247,1653,2408,0.686461794,
image00636,1659,2419,0.685820587,
image00169,1658,2418,0.685690653,
image00187,1659,2420,0.68553719,
image00051,1677,2447,0.685328974,
image00183,1653,2412,0.685323383,
image00668,1701,2483,0.685058397,
image00113,1669,2437,0.684858432,
image00037,1685,2461,0.684681024,
image00644,1661,2426,0.684666117,
image00223,1647,2406,0.684538653,
image00229,1650,2414,0.683512842,
image00153,1650,2415,0.683229814,
image00069,1672,2448,0.683006536,
image00071,1671,2447,0.682876992,
image00043,1671,2447,0.682876992,
image00221,1645,2409,0.682855957,
image00193,1647,2412,0.682835821,
image00642,1653,2424,0.681930693,
image00030,1710,2508,0.681818182,
image00041,1674,2456,0.681596091,
image00053,1667,2446,0.68152085,
image00073,1669,2449,0.681502654,
image00039,1674,2457,0.681318681,
image00067,1673,2456,0.681188925,
image00231,1645,2415,0.68115942,
image00648,1655,2430,0.681069959,
image00217,1638,2413,0.678823042,
image00225,1633,2409,0.677874637,
image00081,1637,2415,0.677846791,
image00632,1639,2424,0.676155116,
image00032,1683,2498,0.673738991,
image00241,1625,2415,0.672877847,
image00443,1594,2370,0.67257384,
image00680,1622,2415,0.671635611,
image00034,1672,2496,0.669871795,
image00429,1574,2353,0.668933277,
image00257,1610,2408,0.668604651,
image00441,1588,2376,0.668350168,
image00676,1617,2424,0.667079208,
image00682,1616,2425,0.666391753,
image00283,1602,2404,0.666389351,
image00533,1599,2404,0.665141431,
image00243,1602,2409,0.665006227,
image00583,1605,2415,0.664596273,
image00698,1622,2441,0.66448177,
image00686,1615,2431,0.664335664,
image00674,1600,2409,0.664176007,
image00690,1615,2432,0.6640625,
image00553,1591,2399,0.663192997,
image00613,1608,2428,0.662273476,
image00261,1594,2408,0.661960133,
image00297,1588,2399,0.661942476,
image00271,1591,2406,0.661263508,
image00173,1599,2419,0.661016949,
image00275,1591,2407,0.660988783,
image00567,1594,2412,0.660862355,
image00505,1582,2395,0.660542797,
image00673,1591,2409,0.660440017,
image00627,1616,2447,0.66040049,
image00295,1583,2398,0.660133445,
